"schuljahr";"abschnitt";"klasse";"lehrerKuerzel";"kursart";"fach";"wochenstunden";"aufszeugnis"
"2025";"2";"6b";"BER1";"PUK";"SP";"3";"true"
"2025";"2";"6c";"BERT";"PUK";"D";"4";"true"
"2025";"2";"6c";"BERT";"PUK";"M";"4";"true"
"2025";"2";"6c";"BERT";"PUK";"E";"4";"true"
"2025";"2";"6c";"BERT";"PUK";"KU";"2";"true"
"2025";"2";"6c";"BERT";"PUK";"MU";"2";"true"
"2025";"2";"6c";"BERT";"PUK";"GE";"2";"true"
"2025";"2";"6c";"BERT";"PUK";"BI";"2";"true"
"2025";"2";"6c";"BERT";"PUK";"PH";"2";"true"
"2025";"2";"6c";"BERT";"PUK";"SP";"3";"true"
"2025";"2";"6d";"BIEK";"PUK";"D";"4";"true"
"2025";"2";"6d";"BIEK";"PUK";"M";"4";"true"
"2025";"2";"6d";"BIEK";"PUK";"E";"4";"true"
"2025";"2";"6d";"BIEK";"PUK";"KU";"2";"true"
"2025";"2";"6d";"BIEK";"PUK";"MU";"2";"true"
"2025";"2";"6d";"BIEK";"PUK";"GE";"2";"true"
"2025";"2";"6d";"BIEK";"PUK";"BI";"2";"true"
"2025";"2";"6d";"BIEK";"PUK";"PH";"2";"true"
"2025";"2";"6d";"BIEK";"PUK";"SP";"3";"true"
"2025";"2";"7a";"BAUM";"PUK";"D";"4";"true"
"2025";"2";"7a";"BAUM";"PUK";"M";"4";"true"
"2025";"2";"7a";"BAUM";"PUK";"E";"4";"true"
"2025";"2";"7a";"BAUM";"PUK";"KU";"2";"true"
"2025";"2";"7a";"BAUM";"PUK";"MU";"2";"true"
"2025";"2";"7a";"BAUM";"PUK";"GE";"2";"true"
"2025";"2";"7a";"BAUM";"PUK";"BI";"2";"true"
"2025";"2";"7a";"BAUM";"PUK";"PH";"2";"true"
"2025";"2";"7a";"BAUM";"PUK";"SP";"3";"true"
"2025";"2";"7b";"BDL";"PUK";"D";"4";"true"
"2025";"2";"7b";"BDL";"PUK";"M";"4";"true"
"2025";"2";"7b";"BDL";"PUK";"E";"4";"true"
"2025";"2";"7b";"BDL";"PUK";"KU";"2";"true"
"2025";"2";"7b";"BDL";"PUK";"MU";"2";"true"
"2025";"2";"7b";"BDL";"PUK";"GE";"2";"true"
"2025";"2";"7b";"BDL";"PUK";"BI";"2";"true"
"2025";"2";"7b";"BDL";"PUK";"PH";"2";"true"
"2025";"2";"7b";"BDL";"PUK";"SP";"3";"true"
"2025";"2";"7c";"BEC1";"PUK";"D";"4";"true"
"2025";"2";"7c";"BEC1";"PUK";"M";"4";"true"
"2025";"2";"7c";"BEC1";"PUK";"E";"4";"true"
"2025";"2";"7c";"BEC1";"PUK";"KU";"2";"true"
"2025";"2";"7c";"BEC1";"PUK";"MU";"2";"true"
"2025";"2";"7c";"BEC1";"PUK";"GE";"2";"true"
"2025";"2";"7c";"BEC1";"PUK";"BI";"2";"true"
"2025";"2";"7c";"BEC1";"PUK";"PH";"2";"true"
"2025";"2";"7c";"BEC1";"PUK";"SP";"3";"true"
"2025";"2";"7d";"BEES";"PUK";"D";"4";"true"
"2025";"2";"7d";"BEES";"PUK";"M";"4";"true"
"2025";"2";"7d";"BEES";"PUK";"E";"4";"true"
"2025";"2";"7d";"BEES";"PUK";"KU";"2";"true"
"2025";"2";"7d";"BEES";"PUK";"MU";"2";"true"
"2025";"2";"7d";"BEES";"PUK";"GE";"2";"true"
"2025";"2";"7d";"BEES";"PUK";"BI";"2";"true"
"2025";"2";"7d";"BEES";"PUK";"PH";"2";"true"
"2025";"2";"7d";"BEES";"PUK";"SP";"3";"true"
"2025";"2";"8a";"AMMO";"PUK";"D";"4";"true"
"2025";"2";"8a";"AMMO";"PUK";"M";"4";"true"
"2025";"2";"8a";"AMMO";"PUK";"E";"4";"true"
"2025";"2";"8a";"AMMO";"PUK";"KU";"2";"true"
"2025";"2";"8a";"AMMO";"PUK";"MU";"2";"true"
"2025";"2";"8a";"AMMO";"PUK";"GE";"2";"true"
"2025";"2";"8a";"AMMO";"PUK";"BI";"2";"true"
"2025";"2";"8a";"AMMO";"PUK";"PH";"2";"true"
"2025";"2";"8a";"AMMO";"PUK";"SP";"3";"true"
"2025";"2";"8b";"ARAU";"PUK";"D";"4";"true"
"2025";"2";"8b";"ARAU";"PUK";"M";"4";"true"
"2025";"2";"8b";"ARAU";"PUK";"E";"4";"true"
"2025";"2";"8b";"ARAU";"PUK";"KU";"2";"true"
"2025";"2";"8b";"ARAU";"PUK";"MU";"2";"true"
"2025";"2";"8b";"ARAU";"PUK";"GE";"2";"true"
"2025";"2";"8b";"ARAU";"PUK";"BI";"2";"true"
"2025";"2";"8b";"ARAU";"PUK";"PH";"2";"true"
"2025";"2";"8b";"ARAU";"PUK";"SP";"3";"true"
"2025";"2";"8c";"ASH";"PUK";"D";"4";"true"
"2025";"2";"8c";"ASH";"PUK";"M";"4";"true"
"2025";"2";"8c";"ASH";"PUK";"E";"4";"true"
"2025";"2";"8c";"ASH";"PUK";"KU";"2";"true"
"2025";"2";"8c";"ASH";"PUK";"MU";"2";"true"
"2025";"2";"8c";"ASH";"PUK";"GE";"2";"true"
"2025";"2";"8c";"ASH";"PUK";"BI";"2";"true"
"2025";"2";"8c";"ASH";"PUK";"PH";"2";"true"
"2025";"2";"8c";"ASH";"PUK";"SP";"3";"true"
"2025";"2";"8d";"BART";"PUK";"D";"4";"true"
"2025";"2";"8d";"BART";"PUK";"M";"4";"true"
"2025";"2";"8d";"BART";"PUK";"E";"4";"true"
"2025";"2";"8d";"BART";"PUK";"KU";"2";"true"
"2025";"2";"8d";"BART";"PUK";"MU";"2";"true"
"2025";"2";"8d";"BART";"PUK";"GE";"2";"true"
"2025";"2";"8d";"BART";"PUK";"BI";"2";"true"
"2025";"2";"8d";"BART";"PUK";"PH";"2";"true"
"2025";"2";"8d";"BART";"PUK";"SP";"3";"true"
"2025";"2";"9a";"LOHE";"PUK";"D";"4";"true"
"2025";"2";"9a";"LOHE";"PUK";"M";"4";"true"
"2025";"2";"9a";"LOHE";"PUK";"E";"4";"true"
"2025";"2";"9a";"LOHE";"PUK";"KU";"2";"true"
"2025";"2";"9a";"LOHE";"PUK";"MU";"2";"true"
"2025";"2";"9a";"LOHE";"PUK";"GE";"2";"true"
"2025";"2";"9a";"LOHE";"PUK";"BI";"2";"true"
"2025";"2";"9a";"LOHE";"PUK";"PH";"2";"true"
"2025";"2";"9a";"LOHE";"PUK";"SP";"3";"true"
"2025";"2";"9b";"DORN";"PUK";"D";"4";"true"
"2025";"2";"9b";"DORN";"PUK";"M";"4";"true"
"2025";"2";"9b";"DORN";"PUK";"E";"4";"true"
"2025";"2";"9b";"DORN";"PUK";"KU";"2";"true"
"2025";"2";"9b";"DORN";"PUK";"MU";"2";"true"
"2025";"2";"9b";"DORN";"PUK";"GE";"2";"true"
"2025";"2";"9b";"DORN";"PUK";"BI";"2";"true"
"2025";"2";"9b";"DORN";"PUK";"PH";"2";"true"
"2025";"2";"9b";"DORN";"PUK";"SP";"3";"true"
"2025";"2";"9c";"GILD";"PUK";"D";"4";"true"
"2025";"2";"9c";"GILD";"PUK";"M";"4";"true"
"2025";"2";"9c";"GILD";"PUK";"E";"4";"true"
"2025";"2";"9c";"GILD";"PUK";"KU";"2";"true"
"2025";"2";"9c";"GILD";"PUK";"MU";"2";"true"
"2025";"2";"9c";"GILD";"PUK";"GE";"2";"true"
"2025";"2";"9c";"GILD";"PUK";"BI";"2";"true"
"2025";"2";"9c";"GILD";"PUK";"PH";"2";"true"
"2025";"2";"9c";"GILD";"PUK";"SP";"3";"true"
"2025";"2";"9d";"TREI";"PUK";"D";"4";"true"
"2025";"2";"9d";"TREI";"PUK";"M";"4";"true"
"2025";"2";"9d";"TREI";"PUK";"E";"4";"true"
"2025";"2";"9d";"TREI";"PUK";"KU";"2";"true"
"2025";"2";"9d";"TREI";"PUK";"MU";"2";"true"
"2025";"2";"9d";"TREI";"PUK";"GE";"2";"true"
"2025";"2";"9d";"TREI";"PUK";"BI";"2";"true"
"2025";"2";"9d";"TREI";"PUK";"PH";"2";"true"
"2025";"2";"9d";"TREI";"PUK";"SP";"3";"true"
"2025";"2";"10a";"FRIT";"PUK";"D";"4";"true"
"2025";"2";"10a";"FRIT";"PUK";"M";"4";"true"
"2025";"2";"10a";"FRIT";"PUK";"E";"4";"true"
"2025";"2";"10a";"FRIT";"PUK";"KU";"2";"true"
"2025";"2";"10a";"FRIT";"PUK";"MU";"2";"true"
"2025";"2";"10a";"FRIT";"PUK";"GE";"2";"true"
"2025";"2";"10a";"FRIT";"PUK";"BI";"2";"true"
"2025";"2";"10a";"FRIT";"PUK";"PH";"2";"true"
"2025";"2";"10a";"FRIT";"PUK";"SP";"3";"true"
"2025";"2";"10b";"SACK";"PUK";"D";"4";"true"
"2025";"2";"10b";"SACK";"PUK";"M";"4";"true"
"2025";"2";"10b";"SACK";"PUK";"E";"4";"true"
"2025";"2";"10b";"SACK";"PUK";"KU";"2";"true"
"2025";"2";"10b";"SACK";"PUK";"MU";"2";"true"
"2025";"2";"10b";"SACK";"PUK";"GE";"2";"true"
"2025";"2";"10b";"SACK";"PUK";"BI";"2";"true"
"2025";"2";"10b";"SACK";"PUK";"PH";"2";"true"
"2025";"2";"10b";"SACK";"PUK";"SP";"3";"true"
"2025";"2";"10c";"ZAR1";"PUK";"D";"4";"true"
"2025";"2";"10c";"ZAR1";"PUK";"M";"4";"true"
"2025";"2";"10c";"ZAR1";"PUK";"E";"4";"true"
"2025";"2";"10c";"ZAR1";"PUK";"KU";"2";"true"
"2025";"2";"10c";"ZAR1";"PUK";"MU";"2";"true"
"2025";"2";"10c";"ZAR1";"PUK";"GE";"2";"true"
"2025";"2";"10c";"ZAR1";"PUK";"BI";"2";"true"
"2025";"2";"10c";"ZAR1";"PUK";"PH";"2";"true"
"2025";"2";"10c";"ZAR1";"PUK";"SP";"3";"true"
"2025";"2";"10d";"FRI1";"PUK";"D";"4";"true"
"2025";"2";"10d";"FRI1";"PUK";"M";"4";"true"
"2025";"2";"10d";"FRI1";"PUK";"E";"4";"true"
"2025";"2";"10d";"FRI1";"PUK";"KU";"2";"true"
"2025";"2";"10d";"FRI1";"PUK";"MU";"2";"true"
"2025";"2";"10d";"FRI1";"PUK";"GE";"2";"true"
"2025";"2";"10d";"FRI1";"PUK";"BI";"2";"true"
"2025";"2";"10d";"FRI1";"PUK";"PH";"2";"true"
"2025";"2";"10d";"FRI1";"PUK";"SP";"3";"true"
